SKILLS,PROJECTS
"NextJs, PostgreSQL, Docker, Prisma",https://www.github.com/Prathamesh/webapp-next-prisma
"React, Firebase, Node.js, Express",https://www.github.com/Prathamesh/react-firebase-node
"Angular, MongoDB, Docker, NestJS",https://www.github.com/Prathamesh/angular-docker-api
"Vue.js, MySQL, Docker, Laravel",https://www.github.com/Prathamesh/vue-laravel-mysql
"Python, TensorFlow, FastAPI, Kubernetes",https://www.github.com/Prathamesh/ai-tensorflow-fastapi
"Flutter, Dart, Firebase, REST API",https://www.github.com/Prathamesh/flutter-firebase-app
"Java, Spring Boot, MongoDB, Docker",https://www.github.com/Prathamesh/springboot-mongodb-app
"Swift, Core Data, SwiftUI, Combine",https://www.github.com/Prathamesh/swiftui-coredata-app
"Raspberry Pi, Python, MQTT, IoT sensors",https://www.github.com/Prathamesh/iot-pi-python
"PyTorch, NLP, Flask, Redis",https://www.github.com/Prathamesh/nlp-flask-pytorch
